"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"181","clear","[4, 4, 12, 41, 89, 156]","[13, 20, 67, 285, 642, 865]"
"182","communications","[114, 122]","[690, 760]"
"183","copy","[95, 77, 12, 6, 172, 100, 99]","[654, 618, 67, 63, 898, 660, 658]"
"184","couple","[124, 53]","[778, 332]"
"185","doctor","[44, 45, 21, 23, 5, 5, 82, 162, 68, 71, 64, 65]","[292, 304, 101, 119, 22, 38, 624, 878, 504, 555, 446, 460]"
"186","easily","[53, 64]","[332, 416]"
"187","elevator","[37]","[203]"
"188","end","[137, 74, 56, 46, 36, 5, 5]","[802, 597, 382, 319, 178, 41, 39]"
"189","engine","[99, 80, 81, 76, 76]","[658, 622, 623, 615, 616]"
"190","eyes","[146, 109, 122, 21]","[844, 677, 760, 101]"
"191","father","[55, 21]","[347, 101]"
"192","fault","[188, 162]","[918, 880]"
"193","fellow","[53]","[332]"
"194","fine","[131, 46]","[797, 315]"
"195","force","[1, 56]","[2, 382]"
"196","funny","[65, 65, 5]","[460, 459, 26]"
"197","glad","[59, 5]","[394, 51]"
"198","guy","[19, 23, 23, 65, 73, 65, 65, 53, 53, 34, 38, 137, 144, 186, 68, 73, 74]","[96, 124, 139, 499, 581, 487, 488, 322, 332, 160, 254, 802, 841, 913, 514, 587, 597]"
"199","hard","[37, 63, 45]","[248, 411, 306]"
"200","hell","[137, 99, 186]","[802, 657, 911]"
"201","hey","[45, 56, 65]","[308, 373, 455]"
"202","hiding","[46, 65]","[316, 460]"
"203","home","[56]","[366]"
"204","hurt","[116, 116, 82]","[694, 693, 624]"
"205","intelligence","[65]","[480]"
"206","kill","[23, 69, 74, 69, 70]","[116, 528, 597, 536, 538]"
"207","kind","[65, 64, 59, 41, 71, 5]","[452, 434, 394, 285, 545, 55]"
"208","king","[55, 55, 40, 69]","[360, 347, 266, 524]"
"209","kneel","[53, 46]","[320, 319]"
"210","knowledge","[40, 45]","[265, 308]"
"211","lead","[1, 137]","[2, 802]"
"212","lermentov","[18]","[73]"
"213","listen","[146, 82, 56, 18]","[844, 624, 372, 73]"
"214","lost","[107, 76, 158, 163, 23, 35, 56, 114, 118]","[670, 616, 870, 884, 119, 164, 382, 690, 737]"
"215","match","[46]","[316]"
"216","men","[137, 46, 64, 16, 17]","[802, 319, 443, 69, 70]"
"217","missed","[53, 54]","[332, 333]"
"218","model","[71]","[547]"
"219","move","[104, 37, 74, 18, 53, 89]","[666, 248, 597, 73, 322, 641]"
"220","old-fashioned","[38, 114, 38]","[259, 690, 260]"
"221","pain","[68, 40]","[514, 270]"
"222","perimeter","[146, 137, 93]","[844, 802, 649]"
"223","phase","[71, 71, 26, 4]","[549, 548, 148, 7]"
"224","phil","[37, 114, 124, 37]","[236, 689, 790, 216]"
"225","plan","[53, 56, 124, 124, 124]","[332, 382, 769, 779, 780]"
"226","planet","[44]","[296]"
"227","point","[118, 124, 118, 191]","[741, 784, 742, 935]"
"228","pretty","[37, 18, 191, 71, 64, 53]","[235, 73, 935, 555, 416, 332]"
"229","problem","[3]","[5]"
"230","protect","[162, 124]","[880, 784]"
"231","put","[173, 44, 45, 28, 40, 74, 74, 56, 73, 74, 84, 74, 74, 118, 168, 114, 117, 23, 19, 5]","[902, 300, 303, 157, 265, 597, 599, 382, 589, 611, 631, 608, 609, 739, 891, 690, 721, 137, 92, 42]"
"232","red","[69, 69, 117, 90]","[535, 534, 726, 646]"
"233","respect","[72]","[576]"
"234","rest","[36, 64, 65, 144, 174]","[178, 416, 492, 841, 904]"
"235","ride","[152, 152]","[859, 860]"
"236","roger","[18, 149]","[72, 852]"
"237","room","[4, 74, 65]","[8, 595, 484]"
"238","rotors","[90, 89, 86]","[646, 642, 636]"
"239","rule","[137, 55, 44]","[802, 360, 300]"
"240","save","[137, 174, 35]","[802, 904, 169]"
"241","sceptre","[40, 162, 158, 74, 162]","[265, 879, 870, 599, 883]"
"242","secrets","[65]","[460]"
"243","sentiment","[137, 26]","[802, 155]"
"244","show","[44, 45, 123, 137]","[301, 308, 764, 802]"
"245","sleep","[117, 35, 4, 38]","[721, 161, 17, 255]"
"246","sound","[117, 18]","[722, 71]"
"248","started","[191, 68, 104]","[935, 512, 667]"
"249","step","[137, 41, 73, 5]","[802, 285, 580, 48]"
"250","streets","[149, 137]","[850, 802]"
"251","stuff","[71, 117, 56, 45]","[573, 709, 372, 305]"
"252","style","[65, 65]","[482, 483]"
"253","subtle","[37, 37]","[205, 206]"
"254","sweeping","[71, 44]","[547, 296]"
"255","team","[112]","[685]"
"256","telling","[186, 65]","[913, 460]"
"257","thing","[5, 53, 38, 37, 5, 90, 89, 73, 71, 152, 5, 116, 124, 38, 65, 37, 37, 173, 186, 65, 137]","[37, 332, 254, 248, 55, 643, 642, 587, 545, 856, 35, 697, 774, 260, 459, 222, 223, 901, 913, 460, 802]"
"258","thought","[55, 41, 71, 63, 35, 18, 37, 37, 124]","[347, 275, 572, 411, 171, 73, 234, 228, 783]"
"259","threat","[40, 56, 71, 72, 73]","[269, 382, 565, 576, 589]"
"260","time","[143, 124, 120, 4, 23, 65, 73, 117, 118, 28, 44, 46, 53]","[839, 785, 747, 20, 126, 452, 579, 708, 737, 157, 296, 319, 332]"
"261","today","[117, 53]","[717, 322]"
"262","tomorrow","[186, 37, 36]","[913, 241, 186]"
"263","trouble","[46, 35, 12, 137]","[313, 161, 67, 802]"
"263","upstairs","[35, 46, 12, 137]","[161, 313, 67, 802]"
"264","war","[128, 191, 68, 117, 26, 18, 35, 26, 56, 40]","[792, 935, 512, 722, 143, 73, 164, 144, 382, 270]"
"265","wind","[44, 65]","[294, 481]"
"266","wondering","[65, 71]","[487, 545]"
"267","word","[41, 41, 41, 90, 53]","[282, 281, 280, 646, 332]"
"268","work","[71, 70, 65, 44, 191, 114, 111, 86, 37, 23, 36, 56, 64, 124, 18, 19, 26, 137]","[567, 538, 460, 300, 935, 690, 684, 636, 248, 116, 181, 382, 442, 786, 73, 85, 146, 802]"
"269","worth","[73]","[586]"
"270","yeah","[71, 73, 56, 65, 45, 53, 37, 41, 5, 5, 152, 137, 124, 124, 124, 120, 118, 118, 117, 117, 101, 74, 74]","[548, 584, 382, 490, 306, 332, 244, 279, 41, 55, 860, 802, 774, 771, 769, 752, 746, 742, 717, 716, 662, 611, 593]"
