"DIALOGUE ID","START TIME","END TIME"
"404","0:54:40","0:54:50"
"405","0:54:47","0:54:54"
"406","0:54:50","0:54:54"
"407","0:54:59","0:55:00"
"408","0:55:09","0:55:11"
"409","0:55:13","0:55:15"
"410","0:55:13","0:55:15"
"411","0:55:16","0:55:19"
"412","0:55:29","0:55:36"
"413","0:55:32","0:55:58"
"414","0:55:54","0:55:58"
"415","0:55:54","0:55:58"
"416","0:55:54","0:55:59"
"417","0:55:58","0:55:59"
"418","0:55:58","0:56:01"
"419","0:55:59","0:56:01"
"420","0:55:59","0:56:01"
"421","0:55:59","0:56:01"
"422","0:55:59","0:56:01"
"423","0:55:59","0:56:32"
"424","0:56:31","0:56:32"
"425","0:56:31","0:56:32"
"426","0:56:31","0:56:32"
"427","0:56:31","0:56:32"
"428","0:56:31","0:56:32"
"429","0:56:31","0:56:32"
"430","0:56:31","0:56:37"
"431","0:56:36","0:56:37"
"432","0:56:36","0:56:37"
"433","0:56:36","0:56:37"
"434","0:56:36","0:56:37"
"435","0:56:36","0:56:37"
"436","0:56:36","0:57:32"
"437","0:57:30","0:57:32"
"438","0:57:30","0:57:52"
"439","0:57:50","0:57:52"
"440","0:57:50","0:57:52"
"441","0:57:50","0:57:52"
"442","0:57:52","0:57:55"
"443","0:57:52","0:57:55"
"444","0:57:52","0:57:55"
"445","0:57:52","0:57:55"
"446","0:57:52","0:57:55"
"447","0:57:52","0:57:55"
"448","0:57:52","0:57:55"
"449","0:57:52","0:58:17"
"450","0:58:15","0:58:17"
"451","0:58:15","0:58:17"
"452","0:58:15","0:58:17"
"453","0:58:15","0:58:17"
"454","0:58:15","0:58:17"
"455","0:58:15","0:58:17"
"456","0:58:15","0:58:17"
"457","0:58:15","0:58:35"
"458","0:58:33","0:58:35"
"459","0:58:33","0:58:35"
"460","0:58:33","0:58:35"
"461","0:58:33","0:58:35"
"462","0:58:33","0:58:39"
"463","0:58:35","0:58:39"
"464","0:58:35","0:58:39"
"465","0:58:39","0:58:42"
"466","0:58:39","0:58:42"
"467","0:58:39","0:58:42"
"468","0:58:42","0:58:44"
"469","0:58:42","0:58:44"
"470","0:59:28","0:59:30"
"471","0:59:34","0:59:37"
"472","0:59:34","0:59:37"
"473","0:59:34","0:59:37"
"474","0:59:34","0:59:37"
"475","0:59:39","0:59:42"
"476","0:59:39","0:59:42"
"477","0:59:39","0:59:42"
"478","0:59:39","0:59:42"
"479","0:59:39","0:59:42"
"480","0:59:39","0:59:42"
"481","0:59:39","0:59:42"
"482","0:59:39","0:59:42"
"483","0:59:39","0:59:42"
"484","0:59:39","0:59:42"
"485","0:59:39","0:59:42"
"486","0:59:39","0:59:42"
"487","0:59:39","0:59:42"
"488","0:59:39","0:59:42"
"489","0:59:39","0:59:42"
"490","0:59:39","0:59:42"
"491","0:59:39","0:59:42"
"492","0:59:39","0:59:42"
"493","1:02:17","1:02:19"
"494","1:02:17","1:02:19"
"495","1:02:17","1:02:19"
"496","1:02:17","1:02:19"
"497","1:02:17","1:02:19"
"498","1:02:17","1:02:19"
"499","1:02:17","1:02:19"
"500","1:02:17","1:02:19"
"501","1:02:17","1:02:19"
"502","1:02:17","1:02:19"
"503","1:02:17","1:02:19"
"504","1:02:17","1:02:19"
"505","1:04:44","1:04:46"
"506","1:04:44","1:04:59"
"507","1:04:57","1:05:01"
"508","1:04:59","1:05:04"
"509","1:05:04","1:05:13"
"510","1:05:10","1:05:35"
"511","1:05:49","1:05:51"
"512","1:05:56","1:05:59"
"513","1:05:56","1:06:05"
"514","1:06:05","1:06:13"
"515","1:06:09","1:06:16"
"516","1:06:13","1:06:40"
"517","1:06:37","1:06:40"
